data;
# Nombre de sommets à couvrir (I)
param n := 8;
# Nombre de sommets atteignables (J)
param m := 4;
# Nombre de véhicules (L)
param l := 5;
# Capacité d'un véhicule
param Q := 5;
set I :=
1
2
3
4
5
6
7
8
;
set J :=
9
10
11
12
;
# Rayon de couverture d'un point atteignable (J)
param cmax := 2.00;
param : d :=
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
;
param : E : c := 
1 2 4.12
1 3 2.24
1 4 5.00
1 5 5.10
1 6 2.00
1 7 4.47
1 8 3.00
1 9 2.24
1 10 1.41
1 11 3.61
1 12 4.00
1 0 1.00
2 1 4.12
2 3 3.16
2 4 5.10
2 5 2.24
2 6 2.24
2 7 3.00
2 8 1.41
2 9 2.00
2 10 3.61
2 11 3.16
2 12 1.00
2 0 4.47
3 1 2.24
3 2 3.16
3 4 6.32
3 5 5.00
3 6 2.24
3 7 5.00
3 8 2.83
3 9 1.41
3 10 3.00
3 11 4.47
3 12 3.61
3 0 3.16
4 1 5.00
4 2 5.10
4 3 6.32
4 5 3.61
4 6 4.12
4 7 2.24
4 8 4.00
4 9 5.10
4 10 3.61
4 11 2.00
4 12 4.12
4 0 4.24
5 1 5.10
5 2 2.24
5 3 5.00
5 4 3.61
5 6 3.16
5 7 1.41
5 8 2.24
5 9 3.61
5 10 4.00
5 11 2.24
5 12 1.41
5 0 5.00
6 1 2.00
6 2 2.24
6 3 2.24
6 4 4.12
6 5 3.16
6 7 2.83
6 8 1.00
6 9 1.00
6 10 1.41
6 11 2.24
6 12 2.00
6 0 2.24
7 1 4.47
7 2 3.00
7 3 5.00
7 4 2.24
7 5 1.41
7 6 2.83
7 8 2.24
7 9 3.61
7 10 3.16
7 11 1.00
7 12 2.00
7 0 4.12
8 1 3.00
8 2 1.41
8 3 2.83
8 4 4.00
8 5 2.24
8 6 1.00
8 7 2.24
8 9 1.41
8 10 2.24
8 11 2.00
8 12 1.00
8 0 3.16
9 1 2.24
9 2 2.00
9 3 1.41
9 4 5.10
9 5 3.61
9 6 1.00
9 7 3.61
9 8 1.41
9 10 2.24
9 11 3.16
9 12 2.24
9 0 2.83
10 1 1.41
10 2 3.61
10 3 3.00
10 4 3.61
10 5 4.00
10 6 1.41
10 7 3.16
10 8 2.24
10 9 2.24
10 11 2.24
10 12 3.16
10 0 1.00
11 1 3.61
11 2 3.16
11 3 4.47
11 4 2.00
11 5 2.24
11 6 2.24
11 7 1.00
11 8 2.00
11 9 3.16
11 10 2.24
11 12 2.24
11 0 3.16
12 1 4.00
12 2 1.00
12 3 3.61
12 4 4.12
12 5 1.41
12 6 2.00
12 7 2.00
12 8 1.00
12 9 2.24
12 10 3.16
12 11 2.24
12 0 4.12
0 1 1.00
0 2 4.47
0 3 3.16
0 4 4.24
0 5 5.00
0 6 2.24
0 7 4.12
0 8 3.16
0 9 2.83
0 10 1.00
0 11 3.16
0 12 4.12
;
end;
