data;
# Nombre de sommets à couvrir (I)
param n := 8;
# Nombre de sommets atteignables (J)
param m := 4;
# Nombre de véhicules (L)
param l := 5;
# Capacité d'un véhicule
param Q := 5;
set I :=
1
2
3
4
5
6
7
8
;
set J :=
50
51
52
53
;
# Rayon de couverture d'un point atteignable (J)
param cmax := 2.00;
param : d :=
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
;
param : E : c := 
1 2 4.12
1 3 2.83
1 4 5.00
1 5 5.10
1 6 2.00
1 7 3.72
1 8 3.00
1 50 2.24
1 51 1.41
1 52 5.00
1 53 4.12
1 0 1.00
2 1 4.12
2 3 2.24
2 4 5.10
2 5 2.24
2 6 2.24
2 7 3.35
2 8 1.41
2 50 2.00
2 51 3.61
2 52 5.10
2 53 2.00
2 0 4.47
3 1 2.83
3 2 2.24
3 4 6.08
3 5 4.24
3 6 2.00
3 7 4.32
3 8 2.24
3 50 1.00
3 51 3.16
3 52 6.08
3 53 3.61
3 0 3.61
4 1 5.00
4 2 5.10
4 3 6.08
4 5 3.61
4 6 4.12
4 7 1.80
4 8 4.00
4 50 5.10
4 51 3.61
4 52 0.00
4 53 3.16
4 0 4.24
5 1 5.10
5 2 2.24
5 3 4.24
5 4 3.61
5 6 3.16
5 7 2.33
5 8 2.24
5 50 3.61
5 51 4.00
5 52 3.61
5 53 1.00
5 0 5.00
6 1 2.00
6 2 2.24
6 3 2.00
6 4 4.12
6 5 3.16
6 7 2.42
6 8 1.00
6 50 1.00
6 51 1.41
6 52 4.12
6 53 2.24
6 0 2.24
7 1 3.72
7 2 3.35
7 3 4.32
7 4 1.80
7 5 2.33
7 6 2.42
7 8 2.20
7 50 3.35
7 51 2.33
7 52 1.80
7 53 1.56
7 0 3.23
8 1 3.00
8 2 1.41
8 3 2.24
8 4 4.00
8 5 2.24
8 6 1.00
8 7 2.20
8 50 1.41
8 51 2.24
8 52 4.00
8 53 1.41
8 0 3.16
50 1 2.24
50 2 2.00
50 3 1.00
50 4 5.10
50 5 3.61
50 6 1.00
50 7 3.35
50 8 1.41
50 51 2.24
50 52 5.10
50 53 2.83
50 0 2.83
51 1 1.41
51 2 3.61
51 3 3.16
51 4 3.61
51 5 4.00
51 6 1.41
51 7 2.33
51 8 2.24
51 50 2.24
51 52 3.61
51 53 3.00
51 0 1.00
52 1 5.00
52 2 5.10
52 3 6.08
52 4 0.00
52 5 3.61
52 6 4.12
52 7 1.80
52 8 4.00
52 50 5.10
52 51 3.61
52 53 3.16
52 0 4.24
53 1 4.12
53 2 2.00
53 3 3.61
53 4 3.16
53 5 1.00
53 6 2.24
53 7 1.56
53 8 1.41
53 50 2.83
53 51 3.00
53 52 3.16
53 0 4.00
0 1 1.00
0 2 4.47
0 3 3.61
0 4 4.24
0 5 5.00
0 6 2.24
0 7 3.23
0 8 3.16
0 50 2.83
0 51 1.00
0 52 4.24
0 53 4.00
;
end;
