data;
# Nombre de sommets à couvrir (I)
param n := 8;
# Nombre de sommets atteignables (J)
param m := 5;
# Nombre de véhicules (L)
param l := 2;
# Capacité d'un véhicule
param Q := 10;
set I :=
1
2
3
4
5
6
7
8
;
set J :=
50
51
52
53
54
;
# Rayon de couverture d'un point atteignable (J)
param cmax := 2.00;
param : d :=
1 1
2 1
3 1
4 1
5 1
6 1
7 3
8 10
;
param : E : c := 
1 2 4.12
1 3 2.83
1 4 5.66
1 5 5.10
1 6 2.00
1 7 4.39
1 8 3.00
1 50 2.24
1 51 1.56
1 52 5.00
1 53 4.12
1 54 4.00
1 0 1.00
1 55 1.00
2 1 4.12
2 3 2.24
2 4 5.00
2 5 2.24
2 6 2.24
2 7 4.32
2 8 1.41
2 50 2.00
2 51 3.72
2 52 5.10
2 53 2.00
2 54 6.40
2 0 4.47
2 55 4.47
3 1 2.83
3 2 2.24
3 4 6.32
3 5 4.24
3 6 2.00
3 7 5.30
3 8 2.24
3 50 1.00
3 51 3.35
3 52 6.08
3 53 3.61
3 54 6.32
3 0 3.61
3 55 3.61
4 1 5.66
4 2 5.00
4 3 6.32
4 5 3.16
4 6 4.47
4 7 1.28
4 8 4.12
4 50 5.39
4 51 4.10
4 52 1.00
4 53 3.00
4 54 4.00
4 0 5.00
4 55 5.00
5 1 5.10
5 2 2.24
5 3 4.24
5 4 3.16
5 6 3.16
5 7 2.97
5 8 2.24
5 50 3.61
5 51 4.00
5 52 3.61
5 53 1.00
5 54 5.83
5 0 5.00
5 55 5.00
6 1 2.00
6 2 2.24
6 3 2.00
6 4 4.47
6 5 3.16
6 7 3.35
6 8 1.00
6 50 1.00
6 51 1.56
6 52 4.12
6 53 2.24
6 54 4.47
6 0 2.24
6 55 2.24
7 1 4.39
7 2 4.32
7 3 5.30
7 4 1.28
7 5 2.97
7 6 3.35
7 8 3.20
7 50 4.32
7 51 2.83
7 52 0.80
7 53 2.42
7 54 3.10
7 0 3.72
7 55 3.72
8 1 3.00
8 2 1.41
8 3 2.24
8 4 4.12
8 5 2.24
8 6 1.00
8 7 3.20
8 50 1.41
8 51 2.33
8 52 4.00
8 53 1.41
8 54 5.00
8 0 3.16
8 55 3.16
50 1 2.24
50 2 2.00
50 3 1.00
50 4 5.39
50 5 3.61
50 6 1.00
50 7 4.32
50 8 1.41
50 51 2.42
50 52 5.10
50 53 2.83
50 54 5.39
50 0 2.83
50 55 2.83
51 1 1.56
51 2 3.72
51 3 3.35
51 4 4.10
51 5 4.00
51 6 1.56
51 7 2.83
51 8 2.33
51 50 2.42
51 52 3.44
51 53 3.01
51 54 2.97
51 0 1.02
51 55 1.02
52 1 5.00
52 2 5.10
52 3 6.08
52 4 1.00
52 5 3.61
52 6 4.12
52 7 0.80
52 8 4.00
52 50 5.10
52 51 3.44
52 53 3.16
52 54 3.00
52 0 4.24
52 55 4.24
53 1 4.12
53 2 2.00
53 3 3.61
53 4 3.00
53 5 1.00
53 6 2.24
53 7 2.42
53 8 1.41
53 50 2.83
53 51 3.01
53 52 3.16
53 54 5.00
53 0 4.00
53 55 4.00
54 1 4.00
54 2 6.40
54 3 6.32
54 4 4.00
54 5 5.83
54 6 4.47
54 7 3.10
54 8 5.00
54 50 5.39
54 51 2.97
54 52 3.00
54 53 5.00
54 0 3.00
54 55 3.00
0 1 1.00
0 2 4.47
0 3 3.61
0 4 5.00
0 5 5.00
0 6 2.24
0 7 3.72
0 8 3.16
0 50 2.83
0 51 1.02
0 52 4.24
0 53 4.00
0 54 3.00
0 55 0.00
55 1 1.00
55 2 4.47
55 3 3.61
55 4 5.00
55 5 5.00
55 6 2.24
55 7 3.72
55 8 3.16
55 50 2.83
55 51 1.02
55 52 4.24
55 53 4.00
55 54 3.00
55 0 0.00
;
end;
